district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
ostrowiecki,Renewable energy,Hydro,,Hydro,0.679,5,Urzad Regulacji Energetyki,2016
ostrowiecki,Renewable energy,Wind,,Onshore,1.5,3,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Wind,,Onshore,25.0,18,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Solar,,Photovoltaics,0.05,5,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Biomass and biogas,,1.5,1,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.1,1,Urzad Regulacji Energetyki,2016
ostrowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.384,1,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.17,1,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Wind,,Onshore,4.0,2,Urzad Regulacji Energetyki,2016
ostrołęcki,Renewable energy,Hydro,,Hydro,0.115,1,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Bioenergy,Biomass and biogas,,0.99,1,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Wind,,Onshore,3.4,2,Urzad Regulacji Energetyki,2016
ostrzeszowski,Renewable energy,Solar,,Photovoltaics,3.0,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Biomass and biogas,,0.25,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.69,1,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Solar,,Photovoltaics,0.127,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Wind,,Onshore,0.12,2,Urzad Regulacji Energetyki,2016
ostródzki,Renewable energy,Bioenergy,Biomass and biogas,,0.22,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.804,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.64,1,Urzad Regulacji Energetyki,2016
otwocki,Renewable energy,Solar,,Photovoltaics,0.027,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Wind,,Onshore,9.2,3,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Solar,,Photovoltaics,0.036,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Bioenergy,Biomass and biogas,,1.2,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Hydro,,Hydro,3.2,1,Urzad Regulacji Energetyki,2016
oławski,Renewable energy,Hydro,,Hydro,1.08,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Solar,,Photovoltaics,0.04,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,2.2,1,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,0.945,1,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.55,2,Urzad Regulacji Energetyki,2016
oświęcimski,Renewable energy,Hydro,,Hydro,0.095,2,Urzad Regulacji Energetyki,2016
pabianicki,Renewable energy,Hydro,,Hydro,0.345,4,Urzad Regulacji Energetyki,2016
pabianicki,Renewable energy,Wind,,Onshore,3.055,5,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Hydro,,Hydro,0.112,2,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Wind,,Onshore,23.249,13,Urzad Regulacji Energetyki,2016
pajęczański,Renewable energy,Solar,,Photovoltaics,0.15,1,Urzad Regulacji Energetyki,2016
parczewski,Renewable energy,Hydro,,Hydro,0.022,1,Urzad Regulacji Energetyki,2016
parczewski,Renewable energy,Bioenergy,Biomass and biogas,,3.6,2,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Wind,,Onshore,0.25,1,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,2.799,2,Urzad Regulacji Energetyki,2016
piaseczyński,Renewable energy,Bioenergy,Sewage and landfill gas,,0.32,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,3.19,2,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,0.32,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Hydro,,Hydro,0.332,6,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Solar,,Photovoltaics,0.002,1,Urzad Regulacji Energetyki,2016
pilski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.4,1,Urzad Regulacji Energetyki,2016
