district,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,electrical_capacity,number_of_installations,data_source,as_of_year
świebodziński,Renewable energy,Hydro,,Hydro,0.103,3,Urzad Regulacji Energetyki,2016
świebodziński,Renewable energy,Wind,,Onshore,6.0,1,Urzad Regulacji Energetyki,2016
świebodziński,Renewable energy,Solar,,Photovoltaics,0.037,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,33.0,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Wind,,Onshore,2.1,2,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,136.825,2,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,0.0,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,0.195,7,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,11.9,3,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Bioenergy,Biomass and biogas,,1.8,1,Urzad Regulacji Energetyki,2016
świecki,Renewable energy,Hydro,,Hydro,0.5,1,Urzad Regulacji Energetyki,2016
Żory,Renewable energy,Bioenergy,Sewage and landfill gas,,0.208,1,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,6.895,4,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,6.655,9,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Hydro,,Hydro,0.576,7,Urzad Regulacji Energetyki,2016
żagański,Renewable energy,Wind,,Onshore,49.5,2,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Wind,,Onshore,12.8,2,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,0.009,1,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,2.96,4,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.2,1,Urzad Regulacji Energetyki,2016
żarski,Renewable energy,Hydro,,Hydro,2.909,2,Urzad Regulacji Energetyki,2016
żniński,Renewable energy,Hydro,,Hydro,0.16,1,Urzad Regulacji Energetyki,2016
żniński,Renewable energy,Wind,,Onshore,13.675,11,Urzad Regulacji Energetyki,2016
żuromiński,Renewable energy,Hydro,,Hydro,0.135,2,Urzad Regulacji Energetyki,2016
żuromiński,Renewable energy,Wind,,Onshore,77.66,14,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Wind,,Onshore,4.75,3,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Hydro,,Hydro,0.065,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.14,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Bioenergy,Sewage and landfill gas,,0.721,1,Urzad Regulacji Energetyki,2016
żyrardowski,Renewable energy,Solar,,Photovoltaics,0.03,3,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Hydro,,Hydro,33.6,2,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Solar,,Photovoltaics,0.118,9,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Bioenergy,Sewage and landfill gas,,0.303,1,Urzad Regulacji Energetyki,2016
żywiecki,Renewable energy,Hydro,,Hydro,0.165,1,Urzad Regulacji Energetyki,2016
